time	V(g1)	I(R3)
4.538347544461933e-05	-2.384133e-03	-2.383572e-09
4.545322990890504e-05	-2.807332e-03	-2.806671e-09
4.552298437319076e-05	-3.227190e-03	-3.226430e-09
4.564854240890504e-05	-3.973359e-03	-3.972424e-09
4.577410044461934e-05	-4.684401e-03	-4.683299e-09
4.589965848033362e-05	-5.360315e-03	-5.359054e-09
4.602521651604792e-05	-6.001102e-03	-5.999690e-09
4.615077455176220e-05	-6.606762e-03	-6.605207e-09
4.627633258747650e-05	-7.177294e-03	-7.175605e-09
4.640189062319078e-05	-7.712699e-03	-7.710884e-09
4.671578571247651e-05	-8.826956e-03	-8.824879e-09
4.702968080176223e-05	-9.569594e-03	-9.567343e-09
4.734357589104795e-05	-9.940614e-03	-9.938276e-09
4.765747098033367e-05	-9.940016e-03	-9.937678e-09
4.797136606961940e-05	-9.567799e-03	-9.565549e-09
4.828526115890512e-05	-8.823964e-03	-8.821888e-09
4.859915624819085e-05	-7.708510e-03	-7.706697e-09
4.866891071247656e-05	-7.420464e-03	-7.418718e-09
4.873866517676228e-05	-7.119682e-03	-7.118006e-09
4.880841964104800e-05	-6.806165e-03	-6.804563e-09
4.887817410533371e-05	-6.479912e-03	-6.478388e-09
4.894792856961943e-05	-6.140925e-03	-6.139480e-09
4.901768303390514e-05	-5.789203e-03	-5.787841e-09
4.908743749819086e-05	-5.424745e-03	-5.423469e-09
4.913626562319086e-05	-5.164502e-03	-5.163287e-09
4.922694642676229e-05	-4.664185e-03	-4.663088e-09
4.931762723033372e-05	-4.152983e-03	-4.152006e-09
4.940830803390515e-05	-3.630896e-03	-3.630041e-09
4.949898883747659e-05	-3.097923e-03	-3.097195e-09
4.958966964104802e-05	-2.554066e-03	-2.553465e-09
4.968035044461945e-05	-1.999323e-03	-1.998853e-09
4.977103124819088e-05	-1.433696e-03	-1.433358e-09
4.996634374819088e-05	-2.114527e-04	-2.114133e-10
5.000000000000000e-05	-4.777360e-17	-4.777361e-23
