time	V(n002)	I(R6)
4.859915624819085e-05	8.203223e-02	1.745367e-05
4.866891071247656e-05	7.899780e-02	1.680804e-05
4.873866517676228e-05	7.582680e-02	1.613336e-05
4.880841964104800e-05	7.251923e-02	1.542962e-05
4.887817410533371e-05	6.907509e-02	1.469683e-05
4.894792856961943e-05	6.549437e-02	1.393497e-05
4.901768303390514e-05	6.177709e-02	1.314406e-05
4.908743749819086e-05	5.792323e-02	1.232409e-05
4.913626562319086e-05	5.516857e-02	1.173799e-05
4.922694642676229e-05	4.986937e-02	1.061051e-05
4.931762723033372e-05	4.444659e-02	9.456722e-06
4.940830803390515e-05	3.890022e-02	8.276643e-06
4.949898883747659e-05	3.323026e-02	7.070269e-06
4.958966964104802e-05	2.743672e-02	5.837599e-06
4.968035044461945e-05	2.151958e-02	4.578634e-06
4.977103124819088e-05	1.547885e-02	3.293373e-06
4.996634374819088e-05	2.391496e-03	5.088289e-07
5.000000000000000e-05	1.232880e-04	2.623149e-08
