time	V(emisor)	V(vb)
3.077689062574747e-03	4.606432e-01	4.679541e-01
3.087454687574747e-03	5.130188e-01	5.211609e-01
3.097220312574747e-03	5.639685e-01	5.729192e-01
3.113263839360461e-03	6.436380e-01	6.538532e-01
3.129307366146175e-03	7.151907e-01	7.265415e-01
3.145350892931888e-03	7.786266e-01	7.909841e-01
3.161394419717603e-03	8.339456e-01	8.471812e-01
3.177437946503317e-03	8.811478e-01	8.951325e-01
3.193481473289031e-03	9.202333e-01	9.348383e-01
3.209525000074744e-03	9.512019e-01	9.662983e-01
3.231846428646172e-03	9.751555e-01	9.906322e-01
3.254167857217601e-03	9.807342e-01	9.962994e-01
3.276489285789029e-03	9.679378e-01	9.832999e-01
3.298810714360457e-03	9.367664e-01	9.516338e-01
3.321132142931885e-03	8.872200e-01	9.013010e-01
3.343453571503313e-03	8.192985e-01	8.323016e-01
3.365775000074741e-03	7.330020e-01	7.446355e-01
3.377633259003312e-03	6.814017e-01	6.922162e-01
3.389491517931883e-03	6.268213e-01	6.367696e-01
3.401349776860455e-03	5.692607e-01	5.782954e-01
3.413208035789026e-03	5.087200e-01	5.167939e-01
3.425066294717597e-03	4.451991e-01	4.522648e-01
3.436924553646168e-03	3.786980e-01	3.847083e-01
3.448782812574739e-03	3.092169e-01	3.141244e-01
3.455060714360453e-03	2.720211e-01	2.763384e-01
3.461338616146168e-03	2.345478e-01	2.382703e-01
3.467616517931882e-03	1.967968e-01	1.999201e-01
3.473894419717596e-03	1.587682e-01	1.612880e-01
3.480172321503310e-03	1.204619e-01	1.223737e-01
3.486450223289024e-03	8.187801e-02	8.317749e-02
3.492728125074738e-03	4.301649e-02	4.369920e-02
3.496215848289024e-03	2.145007e-02	2.179050e-02
3.499703571503310e-03	-1.012447e-04	-1.028516e-04
3.503191294717595e-03	-2.163746e-02	-2.198087e-02
3.506679017931881e-03	-4.315858e-02	-4.384355e-02
3.510166741146166e-03	-6.466461e-02	-6.569090e-02
3.513654464360452e-03	-8.615553e-02	-8.752290e-02
3.517142187574738e-03	-1.076314e-01	-1.093396e-01
3.525512723289023e-03	-1.592268e-01	-1.617539e-01
3.533883259003309e-03	-2.100396e-01	-2.133731e-01
3.542253794717595e-03	-2.600698e-01	-2.641973e-01
3.550624330431880e-03	-3.093173e-01	-3.142265e-01
3.558994866146165e-03	-3.577823e-01	-3.634606e-01
3.567365401860451e-03	-4.054646e-01	-4.118997e-01
3.575735937574737e-03	-4.523643e-01	-4.595437e-01
3.589686830431879e-03	-5.283395e-01	-5.367248e-01
3.603637723289022e-03	-5.990282e-01	-6.085353e-01
3.617588616146164e-03	-6.644303e-01	-6.749754e-01
3.631539509003307e-03	-7.245457e-01	-7.360449e-01
3.645490401860449e-03	-7.793746e-01	-7.917440e-01
3.659441294717592e-03	-8.289168e-01	-8.420725e-01
3.673392187574735e-03	-8.731724e-01	-8.870305e-01
3.699898884003306e-03	-9.361466e-01	-9.510041e-01
3.726405580431876e-03	-9.728509e-01	-9.882909e-01
3.752912276860447e-03	-9.832852e-01	-9.988909e-01
3.779418973289018e-03	-9.674497e-01	-9.828041e-01
3.805925669717589e-03	-9.253443e-01	-9.400304e-01
3.832432366146160e-03	-8.569690e-01	-8.705699e-01
3.858939062574731e-03	-7.623237e-01	-7.744225e-01
3.870797321503302e-03	-7.130639e-01	-7.243809e-01
3.882655580431873e-03	-6.606320e-01	-6.711169e-01
3.894513839360444e-03	-6.050280e-01	-6.146304e-01
3.906372098289015e-03	-5.462521e-01	-5.549217e-01
3.918230357217586e-03	-4.843041e-01	-4.919905e-01
3.930088616146158e-03	-4.191841e-01	-4.258369e-01
3.941946875074729e-03	-3.508920e-01	-3.564610e-01
3.948922321503300e-03	-3.100819e-01	-3.150033e-01
3.955897767931872e-03	-2.688782e-01	-2.731456e-01
3.962873214360443e-03	-2.272809e-01	-2.308880e-01
3.969848660789014e-03	-1.852898e-01	-1.882305e-01
3.976824107217585e-03	-1.429051e-01	-1.451732e-01
3.983799553646156e-03	-1.001268e-01	-1.017159e-01
3.990775000074728e-03	-5.695476e-02	-5.785869e-02
4.010306250074727e-03	6.366686e-02	6.467731e-02
4.017979241146156e-03	1.111571e-01	1.129213e-01
4.025652232217584e-03	1.581177e-01	1.606272e-01
4.033325223289012e-03	2.045486e-01	2.077950e-01
4.040998214360441e-03	2.504498e-01	2.544247e-01
4.048671205431870e-03	2.958214e-01	3.005164e-01
4.056344196503298e-03	3.406633e-01	3.460699e-01
4.064017187574726e-03	3.849755e-01	3.910854e-01
4.077270535789011e-03	4.600033e-01	4.673040e-01
4.090523884003297e-03	5.307006e-01	5.391233e-01
4.103777232217582e-03	5.970671e-01	6.065432e-01
4.117030580431868e-03	6.591030e-01	6.695636e-01
4.130283928646153e-03	7.168083e-01	7.281847e-01
4.143537276860439e-03	7.701829e-01	7.824064e-01
4.156790625074724e-03	8.192268e-01	8.322287e-01
4.186087500074724e-03	9.050876e-01	9.194522e-01
4.215384375074723e-03	9.589771e-01	9.741970e-01
4.244681250074722e-03	9.808952e-01	9.964630e-01
4.273978125074722e-03	9.708421e-01	9.862503e-01
4.303275000074721e-03	9.288176e-01	9.435588e-01
4.332571875074720e-03	8.548218e-01	8.683886e-01
4.361868750074720e-03	7.488546e-01	7.607397e-01
4.373727009003291e-03	6.985804e-01	7.096676e-01
4.385585267931862e-03	6.452158e-01	6.554560e-01
4.397443526860434e-03	5.887606e-01	5.981048e-01
4.409301785789004e-03	5.292149e-01	5.376140e-01
4.421160044717575e-03	4.665787e-01	4.739838e-01
4.433018303646147e-03	4.008520e-01	4.072139e-01
4.444876562574718e-03	3.320349e-01	3.373046e-01
4.451852009003289e-03	2.909649e-01	2.955828e-01
4.458827455431861e-03	2.495354e-01	2.534957e-01
4.465802901860432e-03	2.077461e-01	2.110433e-01
4.472778348289003e-03	1.655972e-01	1.682254e-01
4.479753794717574e-03	1.230887e-01	1.250422e-01
4.486729241146146e-03	8.022047e-02	8.149365e-02
4.493704687574717e-03	3.699261e-02	3.757972e-02
4.513235937574717e-03	-8.359864e-02	-8.492543e-02
4.520908928646145e-03	-1.310014e-01	-1.330805e-01
4.528581919717573e-03	-1.778337e-01	-1.806561e-01
4.536254910789001e-03	-2.240957e-01	-2.276523e-01
4.543927901860431e-03	-2.697872e-01	-2.740690e-01
4.551600892931859e-03	-3.149084e-01	-3.199063e-01
4.559273884003287e-03	-3.594591e-01	-3.651641e-01
4.566946875074715e-03	-4.034395e-01	-4.098424e-01
4.580200223289001e-03	-4.777901e-01	-4.853731e-01
4.593453571503286e-03	-5.477151e-01	-5.564079e-01
4.606706919717572e-03	-6.132145e-01	-6.229468e-01
4.619960267931857e-03	-6.742883e-01	-6.849899e-01
4.633213616146143e-03	-7.309365e-01	-7.425372e-01
4.646466964360428e-03	-7.831591e-01	-7.955886e-01
4.659720312574714e-03	-8.309562e-01	-8.441442e-01
4.688319642931856e-03	-9.121587e-01	-9.266355e-01
4.716918973288998e-03	-9.628427e-01	-9.781239e-01
4.745518303646140e-03	-9.830080e-01	-9.986092e-01
4.774117634003283e-03	-9.726547e-01	-9.880917e-01
4.802716964360425e-03	-9.317828e-01	-9.465711e-01
4.831316294717567e-03	-8.603924e-01	-8.740476e-01
4.859915625074709e-03	-7.584833e-01	-7.705212e-01
4.866891071503281e-03	-7.301206e-01	-7.417084e-01
4.873866517931852e-03	-7.005068e-01	-7.116245e-01
4.880841964360423e-03	-6.696418e-01	-6.802697e-01
4.887817410788994e-03	-6.375257e-01	-6.476438e-01
4.894792857217565e-03	-6.041584e-01	-6.137469e-01
4.901768303646137e-03	-5.695399e-01	-5.785790e-01
4.908743750074708e-03	-5.336702e-01	-5.421401e-01
4.913626562574708e-03	-5.080586e-01	-5.161220e-01
4.922694642931851e-03	-4.588233e-01	-4.661052e-01
4.931762723288993e-03	-4.085203e-01	-4.150039e-01
4.940830803646136e-03	-3.571497e-01	-3.628180e-01
4.949898884003279e-03	-3.047114e-01	-3.095474e-01
4.958966964360422e-03	-2.512054e-01	-2.551923e-01
4.968035044717564e-03	-1.966318e-01	-1.997526e-01
4.977103125074707e-03	-1.409906e-01	-1.432282e-01
4.996634375074706e-03	-2.076936e-02	-2.109899e-02
5.000000000000000e-03	2.922715e-05	2.969102e-05
