time	V(emisor)	V(n003)
3.472499330431881e-03	1.855904e+00	1.720228e-01
3.480172321503310e-03	1.808963e+00	1.244011e-01
3.487845312574738e-03	1.761485e+00	7.621741e-02
3.492030580431881e-03	1.735619e+00	4.995680e-02
3.496215848289024e-03	1.709771e+00	2.370700e-02
3.500401116146167e-03	1.683940e+00	-2.531994e-03
3.504586384003310e-03	1.658128e+00	-2.876018e-02
3.508771651860452e-03	1.632332e+00	-5.497756e-02
3.512956919717595e-03	1.606555e+00	-8.118413e-02
3.517142187574738e-03	1.580795e+00	-1.073799e-01
3.525512723289023e-03	1.529280e+00	-1.597894e-01
3.533883259003309e-03	1.478578e+00	-2.114067e-01
3.542253794717595e-03	1.428687e+00	-2.622317e-01
3.550624330431880e-03	1.379608e+00	-3.122645e-01
3.558994866146165e-03	1.331341e+00	-3.615051e-01
3.567365401860451e-03	1.283886e+00	-4.099533e-01
3.575735937574737e-03	1.237243e+00	-4.576094e-01
3.589686830431879e-03	1.161799e+00	-5.348172e-01
3.603637723289022e-03	1.091675e+00	-6.066611e-01
3.617588616146164e-03	1.026871e+00	-6.731410e-01
3.631539509003307e-03	9.673868e-01	-7.342569e-01
3.645490401860449e-03	9.132222e-01	-7.900088e-01
3.659441294717592e-03	8.643773e-01	-8.403967e-01
3.673392187574735e-03	8.208522e-01	-8.854206e-01
3.699898884003306e-03	7.589885e-01	-9.495421e-01
3.726405580431876e-03	7.229683e-01	-9.869799e-01
3.752912276860447e-03	7.127913e-01	-9.977340e-01
3.779418973289018e-03	7.284577e-01	-9.818044e-01
3.805925669717589e-03	7.699675e-01	-9.391911e-01
3.832432366146160e-03	8.373205e-01	-8.698941e-01
3.858939062574731e-03	9.305170e-01	-7.739134e-01
3.870797321503302e-03	9.792098e-01	-7.239383e-01
3.882655580431873e-03	1.031116e+00	-6.707371e-01
3.894513839360444e-03	1.086236e+00	-6.143100e-01
3.906372098289015e-03	1.144569e+00	-5.546568e-01
3.918230357217586e-03	1.206116e+00	-4.917776e-01
3.930088616146158e-03	1.270876e+00	-4.256723e-01
3.941946875074729e-03	1.338849e+00	-3.563411e-01
3.948922321503300e-03	1.379507e+00	-3.149071e-01
3.955897767931872e-03	1.420578e+00	-2.730715e-01
3.962873214360443e-03	1.462061e+00	-2.308343e-01
3.969848660789014e-03	1.503956e+00	-1.881954e-01
3.976824107217585e-03	1.546263e+00	-1.451549e-01
3.983799553646156e-03	1.588983e+00	-1.017127e-01
3.990775000074728e-03	1.632115e+00	-5.786893e-02
3.994262723289013e-03	1.653658e+00	-3.597688e-02
3.997750446503299e-03	1.675194e+00	-1.409381e-02
4.001238169717584e-03	1.696726e+00	7.780277e-03
4.004725892931871e-03	1.718252e+00	2.964538e-02
4.008213616146156e-03	1.739772e+00	5.150149e-02
4.011701339360442e-03	1.761287e+00	7.334862e-02
4.015189062574727e-03	1.782797e+00	9.518676e-02
4.023559598289012e-03	1.834516e+00	1.476796e-01
4.031930134003298e-03	1.885498e+00	1.994125e-01
4.040300669717584e-03	1.935743e+00	2.503856e-01
4.048671205431870e-03	1.985252e+00	3.005988e-01
4.057041741146155e-03	2.034025e+00	3.500521e-01
4.065412276860441e-03	2.082060e+00	3.987456e-01
4.073782812574726e-03	2.129359e+00	4.466792e-01
4.083548437574726e-03	2.182600e+00	5.006279e-01
4.093314062574726e-03	2.233989e+00	5.526923e-01
4.098196875074725e-03	2.258928e+00	5.779564e-01
4.103079687574725e-03	2.283332e+00	6.026765e-01
4.107962500074725e-03	2.307177e+00	6.268294e-01
4.112845312574725e-03	2.330441e+00	6.503923e-01
4.117728125074725e-03	2.353101e+00	6.733431e-01
4.122610937574725e-03	2.375136e+00	6.956602e-01
4.127493750074725e-03	2.396525e+00	7.173226e-01
4.132376562574725e-03	2.417247e+00	7.383098e-01
4.142142187574725e-03	2.456615e+00	7.781805e-01
4.151907812574724e-03	2.493089e+00	8.151224e-01
4.161673437574724e-03	2.526530e+00	8.489963e-01
